,Username,Display_Name,Gender,notebook_url,code_location,labels,top_labels
23,motloch,Pavel Motloch,male,https://www.kaggle.com/code/motloch/nov-21-playing-around-with-k-fold-cv-xgboost,D:\learning\thesis\male\motloch\nov-21-playing-around-with-k-fold-cv-xgboost.ipynb,['Tabular Playground Series - Nov 2021'],{'Tabular Playground Series - Nov 2021'}
24,kyakovlev,Konstantin Yakovlev,male,https://www.kaggle.com/code/kyakovlev/ieee-ground-baseline-make-amount-useful-again,D:\learning\thesis\male\kyakovlev\ieee-ground-baseline-make-amount-useful-again.ipynb,"['IEEE-CIS Fraud Detection', 'IEEE Data minification']",{'IEEE-CIS Fraud Detection'}
25,anjusukumaran4,Anju Sukumaran,female,https://www.kaggle.com/code/anjusukumaran4/breast-cancer-prediction,D:\learning\thesis\female\anjusukumaran4\breast-cancer-prediction.ipynb,['Breast Cancer Wisconsin (Diagnostic) Data Set'],{'Breast Cancer Wisconsin (Diagnostic) Data Set'}
26,superant,Ant 🐜,male,https://www.kaggle.com/code/superant/golden-tree-tune,D:\learning\thesis\male\superant\golden-tree-tune.ipynb,['IEEE-CIS Fraud Detection'],{'IEEE-CIS Fraud Detection'}
27,albeffe,Alberto Maria Falletta,male,https://www.kaggle.com/code/albeffe/first-kaggle-notebook,D:\learning\thesis\male\albeffe\first-kaggle-notebook.ipynb,['Titanic - Machine Learning from Disaster'],{'Titanic - Machine Learning from Disaster'}
28,sinaasappel,Anika,female,https://www.kaggle.com/code/sinaasappel/house-prices-eda,D:\learning\thesis\female\sinaasappel\house-prices-eda.ipynb,['Housing Prices Competition for Kaggle Learn Users'],{'Housing Prices Competition for Kaggle Learn Users'}
29,aishasana,aysha sana,female,https://www.kaggle.com/code/aishasana/titanic-classification,D:\learning\thesis\female\aishasana\titanic-classification.ipynb,['Titanic - Machine Learning from Disaster'],{'Titanic - Machine Learning from Disaster'}
30,pg1007,Priyanka Gupta,female,https://www.kaggle.com/code/pg1007/exercise-cross-validation,D:\learning\thesis\female\pg1007\exercise-cross-validation.ipynb,['Housing Prices Competition for Kaggle Learn Users'],{'Housing Prices Competition for Kaggle Learn Users'}
31,burakkahveci,Burak Kahveci,male,https://www.kaggle.com/code/burakkahveci/comparison-of-knn-pca-nca-for-prediction,D:\learning\thesis\male\burakkahveci\comparison-of-knn-pca-nca-for-prediction.ipynb,['Breast Cancer Wisconsin (Diagnostic) Data Set'],{'Breast Cancer Wisconsin (Diagnostic) Data Set'}
32,nisasoylu,Nisa Soylu,female,https://www.kaggle.com/code/nisasoylu/logistic-regression-on-cancer-dataset-nisa,D:\learning\thesis\female\nisasoylu\logistic-regression-on-cancer-dataset-nisa.ipynb,['Breast Cancer Wisconsin (Diagnostic) Data Set'],{'Breast Cancer Wisconsin (Diagnostic) Data Set'}
33,vandana12911,Vandana,female,https://www.kaggle.com/code/vandana12911/digit-recognizer-using-pytorch,D:\learning\thesis\female\vandana12911\digit-recognizer-using-pytorch.ipynb,['Digit Recognizer'],{'Digit Recognizer'}
34,ohseokkim,OH SEOK KIM,male,https://www.kaggle.com/code/ohseokkim/titanic-missing-and-small-data-are-disaster,D:\learning\thesis\male\ohseokkim\titanic-missing-and-small-data-are-disaster.ipynb,['Titanic - Machine Learning from Disaster'],{'Titanic - Machine Learning from Disaster'}
35,mahyamahjoob,Mahya Mahjoob,female,https://www.kaggle.com/code/mahyamahjoob/advance-house-price-prediction,D:\learning\thesis\female\mahyamahjoob\advance-house-price-prediction.ipynb,['House Prices - Advanced Regression Techniques'],{'House Prices - Advanced Regression Techniques'}
36,snippsy,Erik,male,https://www.kaggle.com/code/snippsy/utility-vs-metric-correlation,D:\learning\thesis\male\snippsy\utility-vs-metric-correlation.ipynb,['Jane Street Market Prediction'],{'Jane Street Market Prediction'}
37,serkanp,Serkan Polat,male,https://www.kaggle.com/code/serkanp/logisticregression-accuracy-78,D:\learning\thesis\male\serkanp\logisticregression-accuracy-78.ipynb,['Titanic - Machine Learning from Disaster'],{'Titanic - Machine Learning from Disaster'}
38,krishna1997gopal,krishan gopal,male,https://www.kaggle.com/code/krishna1997gopal/important-in-readability-eda-tf-idf-w2v-xg-boost,D:\learning\thesis\male\krishna1997gopal\important-in-readability-eda-tf-idf-w2v-xg-boost.ipynb,"['GoogleNews-vectors-negative300', 'CommonLit Readability Prize']",{'CommonLit Readability Prize'}
39,edacebeci,Eda Cebeci,female,https://www.kaggle.com/code/edacebeci/titanic-survival-different-models,D:\learning\thesis\female\edacebeci\titanic-survival-different-models.ipynb,['Titanic - Machine Learning from Disaster'],{'Titanic - Machine Learning from Disaster'}
40,anushakarthik1991,Anusha Nidamanuri,female,https://www.kaggle.com/code/anushakarthik1991/titanic-surv-pred2,D:\learning\thesis\female\anushakarthik1991\titanic-surv-pred2.ipynb,['Titanic - Machine Learning from Disaster'],{'Titanic - Machine Learning from Disaster'}
41,ashx010,Yash Aggarwal,male,https://www.kaggle.com/code/ashx010/titanic-with-pipeline-and-gridsearchcv,D:\learning\thesis\male\ashx010\titanic-with-pipeline-and-gridsearchcv.ipynb,['Titanic - Machine Learning from Disaster'],{'Titanic - Machine Learning from Disaster'}
42,edacebeci,Eda Cebeci,female,https://www.kaggle.com/code/edacebeci/breast-cancer-wisconsin-class-knn-pca-nca,D:\learning\thesis\female\edacebeci\breast-cancer-wisconsin-class-knn-pca-nca.ipynb,['Breast Cancer Wisconsin (Diagnostic) Data Set'],{'Breast Cancer Wisconsin (Diagnostic) Data Set'}
43,nivedithavudayagiri,Niveditha Vudayagiri,female,https://www.kaggle.com/code/nivedithavudayagiri/housing-prices-prediction,D:\learning\thesis\female\nivedithavudayagiri\housing-prices-prediction.ipynb,['Housing Prices Competition for Kaggle Learn Users'],{'Housing Prices Competition for Kaggle Learn Users'}
44,atasaygin,Ata Saygın Odabaşı,male,https://www.kaggle.com/code/atasaygin/titanic-visualization-and-analysis,D:\learning\thesis\male\atasaygin\titanic-visualization-and-analysis.ipynb,['Titanic - Machine Learning from Disaster'],{'Titanic - Machine Learning from Disaster'}
45,sonmou,Sonia Sharma,female,https://www.kaggle.com/code/sonmou/predicting-housing-price-ml-intermediate-course,D:\learning\thesis\female\sonmou\predicting-housing-price-ml-intermediate-course.ipynb,['Housing Prices Competition for Kaggle Learn Users'],{'Housing Prices Competition for Kaggle Learn Users'}
46,minnieliang,Minnie Liang,female,https://www.kaggle.com/code/minnieliang/titanic-xgboost-model-0-78468,D:\learning\thesis\female\minnieliang\titanic-xgboost-model-0-78468.ipynb,['Titanic - Machine Learning from Disaster'],{'Titanic - Machine Learning from Disaster'}
47,tracyporter,Tracy Porter,female,https://www.kaggle.com/code/tracyporter/mnist-tf-cnn,D:\learning\thesis\female\tracyporter\mnist-tf-cnn.ipynb,['Digit Recognizer'],{'Digit Recognizer'}
48,amulyamanne,Amulya,female,https://www.kaggle.com/code/amulyamanne/text-mining-quora-insincere-questions-classfn,D:\learning\thesis\female\amulyamanne\text-mining-quora-insincere-questions-classfn.ipynb,['Quora Insincere Questions Classification'],{'Quora Insincere Questions Classification'}
49,prakharrathi25,Prakhar Rathi,male,https://www.kaggle.com/code/prakharrathi25/titanic-survival-rate,D:\learning\thesis\male\prakharrathi25\titanic-survival-rate.ipynb,['Titanic - Machine Learning from Disaster'],{'Titanic - Machine Learning from Disaster'}
50,leodaniel,Leonardo Tavares,male,https://www.kaggle.com/code/leodaniel/code-quality-clearly-explained,D:\learning\thesis\male\leodaniel\code-quality-clearly-explained.ipynb,['Spaceship Titanic'],{'Spaceship Titanic'}
51,ecemboluk,Ecem Bölük,female,https://www.kaggle.com/code/ecemboluk/convolutional-neural-network-98-accuracy,D:\learning\thesis\female\ecemboluk\convolutional-neural-network-98-accuracy.ipynb,['Digit Recognizer'],{'Digit Recognizer'}
52,lextoumbourou,Lex Toumbourou,male,https://www.kaggle.com/code/lextoumbourou/house-prices-for-beginners-part-1,D:\learning\thesis\male\lextoumbourou\house-prices-for-beginners-part-1.ipynb,['House Prices - Advanced Regression Techniques'],{'House Prices - Advanced Regression Techniques'}
53,defcodeking,Malay Agarwal,female,https://www.kaggle.com/code/defcodeking/ensembling-and-optuna-is-all-you-need,D:\learning\thesis\female\defcodeking\ensembling-and-optuna-is-all-you-need.ipynb,"['Spaceship Titanic Prepared Datasets', 'Spaceship Titanic']",{'Spaceship Titanic'}
54,vandana12911,Vandana,female,https://www.kaggle.com/code/vandana12911/mnist-with-cnn-pytorch,D:\learning\thesis\female\vandana12911\mnist-with-cnn-pytorch.ipynb,['Digit Recognizer'],{'Digit Recognizer'}
55,blackhurt,Rahul jha,male,https://www.kaggle.com/code/blackhurt/my-approach-to-be-in-top2,D:\learning\thesis\male\blackhurt\my-approach-to-be-in-top2.ipynb,['Titanic - Machine Learning from Disaster'],{'Titanic - Machine Learning from Disaster'}
56,alvaroibrain,Alvaro,male,https://www.kaggle.com/code/alvaroibrain/xlnet-huggingface-transformers,D:\learning\thesis\male\alvaroibrain\xlnet-huggingface-transformers.ipynb,['Natural Language Processing with Disaster Tweets'],{'Natural Language Processing with Disaster Tweets'}
57,youneseloiarm,BOOBA,male,https://www.kaggle.com/code/youneseloiarm/simple-tabpfn-approach-for-score-of-15-in-1-min,D:\learning\thesis\male\youneseloiarm\simple-tabpfn-approach-for-score-of-15-in-1-min.ipynb,"['TabPFN (0.1.9) whl', 'ICR - Identifying Age-Related Conditions']",{'ICR - Identifying Age-Related Conditions'}
58,qayyum453,Abdul Qayyum Ahmadzai,male,https://www.kaggle.com/code/qayyum453/spaceship-titanic-predictions-using-pycaret,D:\learning\thesis\male\qayyum453\spaceship-titanic-predictions-using-pycaret.ipynb,['Spaceship Titanic'],{'Spaceship Titanic'}
59,jennifersantiago,Jennifer Santiago,female,https://www.kaggle.com/code/jennifersantiago/diabetes-eda-and-classifier-75-1,D:\learning\thesis\female\jennifersantiago\diabetes-eda-and-classifier-75-1.ipynb,['Pima Indians Diabetes Database'],{'Pima Indians Diabetes Database'}
60,ivanisaev,Ivan Isaev,male,https://www.kaggle.com/code/ivanisaev/icr-coefs-for-voting-ensamble,D:\learning\thesis\male\ivanisaev\icr-coefs-for-voting-ensamble.ipynb,"['pip-packages-icr', 'ICR - Identifying Age-Related Conditions']",{'ICR - Identifying Age-Related Conditions'}
61,rinichristy,Rini Christy,female,https://www.kaggle.com/code/rinichristy/house-prices-advanced-regression-techniques,D:\learning\thesis\female\rinichristy\house-prices-advanced-regression-techniques.ipynb,['House Prices - Advanced Regression Techniques'],{'House Prices - Advanced Regression Techniques'}
62,doanquanvietnamca,Manh Lab,male,https://www.kaggle.com/code/doanquanvietnamca/multi-dropout-kfold-with-roberta-on-gpu,D:\learning\thesis\male\doanquanvietnamca\multi-dropout-kfold-with-roberta-on-gpu.ipynb,"['RoBERTa | Transformers | Pytorch', 'Natural Language Processing with Disaster Tweets']",{'Natural Language Processing with Disaster Tweets'}
63,crained,Charlie Craine,male,https://www.kaggle.com/code/crained/spaceship-basic-model-data-walkthrough,D:\learning\thesis\male\crained\spaceship-basic-model-data-walkthrough.ipynb,['Spaceship Titanic'],{'Spaceship Titanic'}
64,serkanp,Serkan Polat,male,https://www.kaggle.com/code/serkanp/house-prices-advanced-regression-techniques,D:\learning\thesis\male\serkanp\house-prices-advanced-regression-techniques.ipynb,"['Ames Housing Dataset', 'House Prices - Advanced Regression Techniques']",{'House Prices - Advanced Regression Techniques'}
65,suyashlakhani,Suyash Lakhani,male,https://www.kaggle.com/code/suyashlakhani/credit-card-fraud-handling-imbalanced-dataset-98,D:\learning\thesis\male\suyashlakhani\credit-card-fraud-handling-imbalanced-dataset-98.ipynb,['Credit Card Fraud Detection'],{'Credit Card Fraud Detection'}
66,ritik2209,Ritik Agarwal,male,https://www.kaggle.com/code/ritik2209/cassava-b3,D:\learning\thesis\male\ritik2209\cassava-b3.ipynb,['Cassava Leaf Disease Classification'],{'Cassava Leaf Disease Classification'}
67,eslamfouad,Eslam Fouad,male,https://www.kaggle.com/code/eslamfouad/knn-iris-binary,D:\learning\thesis\male\eslamfouad\knn-iris-binary.ipynb,['Iris Species'],{'Iris Species'}
68,ankitaanand28,Ankita Anand,female,https://www.kaggle.com/code/ankitaanand28/spaceship-titanic-encoding-loc-iloc-79-accuracy,D:\learning\thesis\female\ankitaanand28\spaceship-titanic-encoding-loc-iloc-79-accuracy.ipynb,['Spaceship Titanic'],{'Spaceship Titanic'}
69,thomasmeiner,Thomas Meißner,male,https://www.kaggle.com/code/thomasmeiner/icr-introducing-bluecast-automl,D:\learning\thesis\male\thomasmeiner\icr-introducing-bluecast-automl.ipynb,"['BlueCast', 'ICR - Identifying Age-Related Conditions']",{'ICR - Identifying Age-Related Conditions'}
70,imeintanis,Ioannis M,male,https://www.kaggle.com/code/imeintanis/cnn-track-your-experiments-weights-biases,D:\learning\thesis\male\imeintanis\cnn-track-your-experiments-weights-biases.ipynb,['Digit Recognizer'],{'Digit Recognizer'}
71,jocelyndumlao,Jocelyn Dumlao,female,https://www.kaggle.com/code/jocelyndumlao/exercise-xgboost,D:\learning\thesis\female\jocelyndumlao\exercise-xgboost.ipynb,['Housing Prices Competition for Kaggle Learn Users'],{'Housing Prices Competition for Kaggle Learn Users'}
72,dlarionov,Denis Larionov,male,https://www.kaggle.com/code/dlarionov/mnist-tensorflow,D:\learning\thesis\male\dlarionov\mnist-tensorflow.ipynb,['Digit Recognizer'],{'Digit Recognizer'}
73,harshsingh2209,Harsh Singh,male,https://www.kaggle.com/code/harshsingh2209/titanic-survival-eda-classification,D:\learning\thesis\male\harshsingh2209\titanic-survival-eda-classification.ipynb,['Titanic - Machine Learning from Disaster'],{'Titanic - Machine Learning from Disaster'}
74,shaimaa1234,Shaimaa Othman,female,https://www.kaggle.com/code/shaimaa1234/iris-k-nearest-neighbours-algorithm,D:\learning\thesis\female\shaimaa1234\iris-k-nearest-neighbours-algorithm.ipynb,['Iris Species'],{'Iris Species'}
75,gowrishankarin,Gowri Shankar,female,https://www.kaggle.com/code/gowrishankarin/tf101-multi-layer-perceptron,D:\learning\thesis\female\gowrishankarin\tf101-multi-layer-perceptron.ipynb,['Digit Recognizer'],{'Digit Recognizer'}
76,muhammedabdulazeem,Mohd Abdul Azeem,male,https://www.kaggle.com/code/muhammedabdulazeem/exercise-categorical-variables,D:\learning\thesis\male\muhammedabdulazeem\exercise-categorical-variables.ipynb,['Housing Prices Competition for Kaggle Learn Users'],{'Housing Prices Competition for Kaggle Learn Users'}
77,shweta2407,shweta sharma,female,https://www.kaggle.com/code/shweta2407/mnist-digit-recognition-using-cnn,D:\learning\thesis\female\shweta2407\mnist-digit-recognition-using-cnn.ipynb,['Digit Recognizer'],{'Digit Recognizer'}
78,jihyeseo,Jihye Sofia Seo,female,https://www.kaggle.com/code/jihyeseo/seaborn-visualization-with-iris-data,D:\learning\thesis\female\jihyeseo\seaborn-visualization-with-iris-data.ipynb,['Iris Species'],{'Iris Species'}
79,mahmoudyasser,Mahmoud Yasser,male,https://www.kaggle.com/code/mahmoudyasser/getting-started-with-titanic,D:\learning\thesis\male\mahmoudyasser\getting-started-with-titanic.ipynb,['Titanic - Machine Learning from Disaster'],{'Titanic - Machine Learning from Disaster'}
80,amritharj,Amritha R J,female,https://www.kaggle.com/code/amritharj/titanic-prediction,D:\learning\thesis\female\amritharj\titanic-prediction.ipynb,['Titanic - Machine Learning from Disaster'],{'Titanic - Machine Learning from Disaster'}
81,tanyildizderya,Derya Tanyıldız,female,https://www.kaggle.com/code/tanyildizderya/tpot-automl-iris-data-set-100,D:\learning\thesis\female\tanyildizderya\tpot-automl-iris-data-set-100.ipynb,['Iris Species'],{'Iris Species'}
82,joebeachcapital,Joakim Arvidsson,male,https://www.kaggle.com/code/joebeachcapital/house-prices-models,D:\learning\thesis\male\joebeachcapital\house-prices-models.ipynb,['House Prices - Advanced Regression Techniques'],{'House Prices - Advanced Regression Techniques'}
83,aadarshbhalerao,Aadarsh Bhalerao,male,https://www.kaggle.com/code/aadarshbhalerao/spaceship-titanic-simplefied-ml-for-beginner,D:\learning\thesis\male\aadarshbhalerao\spaceship-titanic-simplefied-ml-for-beginner.ipynb,['Spaceship Titanic'],{'Spaceship Titanic'}
84,xfffrank,Frank,male,https://www.kaggle.com/code/xfffrank/fasttextclassification,D:\learning\thesis\male\xfffrank\fasttextclassification.ipynb,['Quora Insincere Questions Classification'],{'Quora Insincere Questions Classification'}
85,amandavinci,Aman Hussain,male,https://www.kaggle.com/code/amandavinci/titanic,D:\learning\thesis\male\amandavinci\titanic.ipynb,['Titanic - Machine Learning from Disaster'],{'Titanic - Machine Learning from Disaster'}
86,egemenuurdalg,Egemen Uğur Dalgıç,male,https://www.kaggle.com/code/egemenuurdalg/clustering-types-and-k-means,D:\learning\thesis\male\egemenuurdalg\clustering-types-and-k-means.ipynb,['Iris Species'],{'Iris Species'}
87,maryamsharifi,Maryam sharifi,female,https://www.kaggle.com/code/maryamsharifi/titanic-thefirsttry-lr,D:\learning\thesis\female\maryamsharifi\titanic-thefirsttry-lr.ipynb,['Titanic - Machine Learning from Disaster'],{'Titanic - Machine Learning from Disaster'}
88,fatmakursun,Fatma Kurşun,female,https://www.kaggle.com/code/fatmakursun/house-price-some-of-regression-models,D:\learning\thesis\female\fatmakursun\house-price-some-of-regression-models.ipynb,['House Prices - Advanced Regression Techniques'],{'House Prices - Advanced Regression Techniques'}
89,hoangnguyen719,Hoang Nguyen,male,https://www.kaggle.com/code/hoangnguyen719/icr-ps-lr-d3-fs-ivwoe1-v0,D:\learning\thesis\male\hoangnguyen719\icr-ps-lr-d3-fs-ivwoe1-v0.ipynb,"['ICR - Identifying Age-Related Conditions', '[ICR] FE_V3']",{'ICR - Identifying Age-Related Conditions'}
90,ahmedgadoo,Ahmed Gado,male,https://www.kaggle.com/code/ahmedgadoo/digit-recognizer-98-accuracy,D:\learning\thesis\male\ahmedgadoo\digit-recognizer-98-accuracy.ipynb,['Digit Recognizer'],{'Digit Recognizer'}
91,antoniobrych,Antonio Brych,male,https://www.kaggle.com/code/antoniobrych/the-unreasonable-effectiveness-of-data-na-vebayes,D:\learning\thesis\male\antoniobrych\the-unreasonable-effectiveness-of-data-na-vebayes.ipynb,['Natural Language Processing with Disaster Tweets'],{'Natural Language Processing with Disaster Tweets'}
92,deeksharai,Deeksha Rai,female,https://www.kaggle.com/code/deeksharai/credit-card-fraud-detection-99-9-accuracy,D:\learning\thesis\female\deeksharai\credit-card-fraud-detection-99-9-accuracy.ipynb,['Credit Card Fraud Detection'],{'Credit Card Fraud Detection'}
93,garimasarangal,Garima Sarangal,female,https://www.kaggle.com/code/garimasarangal/exercise-machine-learning-competitions,D:\learning\thesis\female\garimasarangal\exercise-machine-learning-competitions.ipynb,['Housing Prices Competition for Kaggle Learn Users'],{'Housing Prices Competition for Kaggle Learn Users'}
94,hoangnguyen719,Hoang Nguyen,male,https://www.kaggle.com/code/hoangnguyen719/icr-fe-v4,D:\learning\thesis\male\hoangnguyen719\icr-fe-v4.ipynb,"['pip_packages_icr', 'ICR - Identifying Age-Related Conditions']",{'ICR - Identifying Age-Related Conditions'}
95,landfallmotto,Levent Serinol,male,https://www.kaggle.com/code/landfallmotto/tps-nov-21-doubtlab-for-bad-noisy-labels,D:\learning\thesis\male\landfallmotto\tps-nov-21-doubtlab-for-bad-noisy-labels.ipynb,['Tabular Playground Series - Nov 2021'],{'Tabular Playground Series - Nov 2021'}
96,qiaoningchen,Lucy,female,https://www.kaggle.com/code/qiaoningchen/spaceship-titanic-eda,D:\learning\thesis\female\qiaoningchen\spaceship-titanic-eda.ipynb,['Spaceship Titanic'],{'Spaceship Titanic'}
97,wanko123,Yusuke Sato,male,https://www.kaggle.com/code/wanko123/simple-bert-cnn-with-targets-and-errors,D:\learning\thesis\male\wanko123\simple-bert-cnn-with-targets-and-errors.ipynb,"['bert base uncased', 'RoBERTa | Transformers | Pytorch', 'CommonLit Readability Prize']",{'CommonLit Readability Prize'}
98,kunduruanil,Anil Kumar Reddy,male,https://www.kaggle.com/code/kunduruanil/logloss-multilabel,D:\learning\thesis\male\kunduruanil\logloss-multilabel.ipynb,['Mechanisms of Action (MoA) Prediction'],{'Mechanisms of Action (MoA) Prediction'}
99,shivam17818,Shivam,male,https://www.kaggle.com/code/shivam17818/test-all-efficientnet-model-b0-b7,D:\learning\thesis\male\shivam17818\test-all-efficientnet-model-b0-b7.ipynb,"['Melanoma TFRecords 256x256', 'SIIM-ISIC Melanoma Classification']",{'SIIM-ISIC Melanoma Classification'}
100,w5833946,Ruby,female,https://www.kaggle.com/code/w5833946/f-inference-3-1-v4,D:\learning\thesis\female\w5833946\f-inference-3-1-v4.ipynb,['CommonLit Readability Prize'],{'CommonLit Readability Prize'}
101,lildatascientist,Vladislav Kruglikov,male,https://www.kaggle.com/code/lildatascientist/eda-auto-ml-house-prices,D:\learning\thesis\male\lildatascientist\eda-auto-ml-house-prices.ipynb,"['House Sales in King County, USA', 'Boston House Prices', 'House Prices - Advanced Regression Techniques']",{'House Prices - Advanced Regression Techniques'}
102,kubrabilinmis,Kübra Bilinmiş,female,https://www.kaggle.com/code/kubrabilinmis/house-price-predictionn,D:\learning\thesis\female\kubrabilinmis\house-price-predictionn.ipynb,['House Prices - Advanced Regression Techniques'],{'House Prices - Advanced Regression Techniques'}
